nama_cabang,id_ruko,kemiskinan, proporsi_pria , proporsi_wanita ,penduduk, proporsi_usia_produktif ,umk,lebar_ruko,jumlah_fasilitas_belanja, jumlah_toko_ponsel , dekat_fasilitas_transportasi_publik , jumlah_pasar_tradisional , jumlah_restoran , jumlah_kompetitor , dekat_layanan_keuangan , jumlah_bangunan , kategori_wilayah , jalan , jarak_pasar ,lat,lon, avg_omzet ,lat_komp,lon_komp,umk_local_coef,penduduk_local_coef,kemiskinan_local_coef,jumlah_kompetitor_local_coef,jumlah_pasar_tradisional_local_coef,jarak_pasar_local_coef,lebar_ruko_local_coef,jumlah_bangunan_local_coef,commercial_hub_index_local_coef,premium_spot_score_local_coef,comp_per_pop_local_coef
BDG009,2055,0.04,  0.51 ,  0.49 ,94158,  0.69 ,4482914,450,11,13,1,1,1,2,1,"  18,840 ",Perkotaan, primary ,  363.08 ,-6.925914,107.588618,"  501,408,333 ",-6.922077,107.589752,0.2599054607,0.05155858201,0.2677415481,0.05036509726,0.05645129484,0.02667776029,-0.007750055337,0.1254072508,0.1454119678,0.04399612765,-0.01076448965
KWG007,66,0.08,  0.50 ,  0.50 ,127607,  0.69 ,5599593,350,13,4,1,0,2,1,1,"  14,911 ",Perkotaan, residential ,  - ,-6.301098,107.293823,"  607,816,667 ",-6.301013,107.294701,0.06539533761,-0.229039351,-0.2058945719,0.2297583783,0.02886158642,0.09412389772,0.01207349385,0.06490871044,0.07826656928,0.09396959942,-0.01591743175
TGR044,224,0.07,  0.51 ,  0.49 ,201664,  0.74 ,4901117,400,5,12,1,0,0,2,1,"  14,496 ",Perkotaan, tertiary ,  725.91 ,-6.154438,106.574585,"  557,516,667 ",-6.153980,106.575928,0.7199218202,-0.06288588285,-0.0003783109058,0.1861405787,0.05339988799,0.1158417074,0.333328945,-0.02541488294,0.3334873828,-0.006647080509,-2.124.114.641.547.210
BKS026,353,0.05,  0.50 ,  0.50 ,204845,  0.72 ,5558515,600,5,17,1,1,0,4,1,"  13,741 ",Perkotaan, tertiary ,  - ,-6.180002,107.003694,"  677,866,667 ",-6.180000,107.004440,0.5870604247,-0.1318540063,-0.06105503715,0.1593443623,0.02276947696,0.08711775156,0.817675882,-0.01615000648,0.2492832045,-0.6583908658,-0.01760070808
BDG002,457,0.06,  0.50 ,  0.50 ,84041,  0.70 ,3757284,350,10,7,1,1,0,2,1,"  13,450 ",Perkotaan, primary ,  653.97 ,-6.931088,107.641502,"  945,716,667 ",-6.931014,107.641487,0.2630906878,0.06239636296,0.2521717865,0.04932822078,0.05488543706,0.03035974093,-0.01083417401,0.1196885263,0.1477143762,0.03680152978,-0.01029342461
CBN004,1312,0.12,  0.50 ,  0.50 ,62747,  0.69 ,2681382,1200,6,12,1,2,0,3,1,"  13,169 ",Perkotaan, tertiary ,  97.10 ,-6.727817,108.564915,"  480,066,667 ",-6.729564,108.563782,0.2399670004,0.03824214348,0.02605149923,0.1173595,0.0640717067,0.06299949628,-0.03546201492,-0.02451434829,0.1454914545,-0.04052340385,-0.01540974655
DPR015,2466,0.02,  0.50 ,  0.50 ,132920,  0.72 ,3298116,500,3,5,1,1,0,0,1,"  13,143 ",Perkotaan, secondary ,  233.90 ,-8.653512,115.204605,"  351,608,333 ",-8.657028,115.209793,-0.1702253889,0.8539611575,-0.3224260562,0.2039241201,-0.004501782134,-0.1385705453,0.1693443086,-0.1024982031,-0.02689780207,-0.0885128046,0.04431494159
CKR002,90,0.05,  0.50 ,  0.50 ,344179,  0.72 ,5558515,650,4,15,1,3,2,4,1,"  13,140 ",Perkotaan, secondary ,  - ,-6.248093,107.060555,"  716,258,333 ",-6.247665,107.060524,0.4192547622,-0.1635382875,-0.07015526815,0.1689166729,0.01437456578,0.09032902683,0.7296992871,-0.002142542904,0.2186319681,-0.5852273256,-0.01853019782
CKG044,558,0.04,  0.50 ,  0.50 ,334903,  0.70 ,5396761,500,8,9,1,0,0,0,1,"  13,058 ",Perkotaan, tertiary ,  848.54 ,-6.229005,106.935238,"  404,416,667 ",-6.234031,106.934479,0.6955010708,-0.1153855285,-0.03883478129,0.1642639264,0.01859306387,0.08300615564,0.7000566457,-0.01967990795,0.2692013871,-0.5065104989,-0.01603249249
BKS043,137,0.04,  0.50 ,  0.50 ,122471,  0.72 ,5690752,350,9,15,1,0,0,3,1,"  12,673 ",Perkotaan, tertiary ,  - ,-6.179627,107.000862,"  336,741,667 ",-6.179590,107.000992,0.5960096052,-0.1305617749,-0.06046905833,0.159472375,0.02285896164,0.08701561169,0.8121522179,-0.01632116967,0.2503148358,-0.6510975916,-0.01748865688
